,index,Date,Open,High,Low,Close,Volume,Change
486,5657,2022-12-20,59000,59100,58500,58600,9284761,-0.015126050420168013
487,5658,2022-12-21,58700,59100,58000,58000,10356971,-0.010238907849829393
488,5659,2022-12-22,58100,59100,58100,59100,10720630,0.018965517241379404
489,5660,2022-12-23,58200,58400,57700,58100,9829407,-0.016920473773265665
490,5661,2022-12-26,58000,58100,57700,57900,6756411,-0.0034423407917383297
491,5662,2022-12-27,58000,58400,57900,58100,10667027,0.003454231433505983
492,5663,2022-12-28,57600,57600,56400,56600,14665410,-0.025817555938037917
493,5664,2022-12-29,56000,56200,55300,55300,11295935,-0.02296819787985871
494,5665,2023-01-02,55500,56100,55200,55500,10031448,0.003616636528029016
495,5666,2023-01-03,55400,56000,54500,55400,13547030,-0.0018018018018017834
496,5667,2023-01-04,55700,58000,55600,57800,20188071,0.04332129963898912
497,5668,2023-01-05,58200,58800,57600,58200,15682826,0.006920415224913601
498,5669,2023-01-06,58300,59400,57900,59000,17334989,0.013745704467353903
499,5670,2023-01-09,59700,60700,59600,60700,18640107,0.028813559322034
500,5671,2023-01-10,60200,61100,59900,60400,14859797,-0.0049423393739703725
501,5672,2023-01-11,61000,61200,60300,60500,12310751,0.0016556291390728006
502,5673,2023-01-12,61100,61200,59900,60500,16102561,0.0
503,5674,2023-01-13,60500,61200,60400,60800,12510328,0.0049586776859504855
504,5675,2023-01-16,61300,61600,60800,61100,10039972,0.004934210526315708
505,5676,2023-01-17,61200,61500,60600,61000,9831456,-0.0016366612111292644
506,5677,2023-01-18,60700,61000,59900,60400,11584041,-0.00983606557377048
507,5678,2023-01-19,60500,61500,60400,61500,12808490,0.01821192052980125
508,5679,2023-01-20,62100,62300,61100,61800,9646327,0.004878048780487809
509,5680,2023-01-25,63500,63700,63000,63400,16822710,0.025889967637540368
510,5681,2023-01-26,63800,63900,63300,63900,13278277,0.007886435331230235
511,5682,2023-01-27,64400,65000,63900,64600,18760182,0.010954616588419341
512,5683,2023-01-30,64900,64900,63100,63300,20995234,-0.020123839009287936
513,5684,2023-01-31,63500,63700,61000,61000,29746731,-0.0363349131121643
514,5685,2023-02-01,62600,62700,61000,61800,18570133,0.013114754098360715
515,5686,2023-02-02,63200,63900,62600,63500,23285983,0.027508090614886793
516,5687,2023-02-03,63900,64000,63000,63800,15194598,0.0047244094488188
517,5688,2023-02-06,62800,63000,61600,61600,15529356,-0.03448275862068961
518,5689,2023-02-07,61900,62500,61600,61900,14491039,0.004870129870129913
